	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	20064025.0	3766170.0	324058.0	1725635.0	246265.0	19499.0	1389489.0	185128.0	53853.0	498251.0	95242.0	2093087.0	1180628.0	833432.0	128660.0	137195.0	30148.0	8273.0
a	3766170.0	7840153.0	557119.0	933945.0	87853.0	5282.0	436104.0	47818.0	12210.0	208235.0	45923.0	646034.0	420617.0	1225937.0	77093.0	60858.0	11109.0	4129.0
q	324058.0	557119.0	1282947.0	64813.0	5473.0	414.0	53451.0	3273.0	1262.0	48246.0	4378.0	63916.0	34973.0	54360.0	63969.0	5289.0	696.0	84.0
x	1725635.0	933945.0	64813.0	7998133.0	284820.0	9644.0	463761.0	55564.0	13705.0	153099.0	27729.0	557675.0	242570.0	207551.0	48892.0	98926.0	12711.0	3920.0
s	246265.0	87853.0	5473.0	284820.0	498061.0	4577.0	62918.0	5608.0	1840.0	17130.0	2335.0	73184.0	20324.0	18580.0	3650.0	7438.0	2550.0	899.0
w	19499.0	5282.0	414.0	9644.0	4577.0	3571.0	6354.0	599.0	454.0	975.0	67.0	7857.0	997.0	754.0	125.0	221.0	64.0	82.0
c	1389489.0	436104.0	53451.0	463761.0	62918.0	6354.0	2662715.0	61798.0	18709.0	173664.0	17126.0	471556.0	134208.0	109633.0	20596.0	53849.0	7943.0	1848.0
d	185128.0	47818.0	3273.0	55564.0	5608.0	599.0	61798.0	37429.0	2313.0	9032.0	1198.0	62317.0	13561.0	8758.0	1645.0	2882.0	948.0	288.0
e	53853.0	12210.0	1262.0	13705.0	1840.0	454.0	18709.0	2313.0	3403.0	2908.0	458.0	24979.0	5441.0	3202.0	310.0	1462.0	419.0	134.0
b	498251.0	208235.0	48246.0	153099.0	17130.0	975.0	173664.0	9032.0	2908.0	420099.0	8016.0	153663.0	53488.0	48204.0	6892.0	7960.0	1204.0	301.0
g	95242.0	45923.0	4378.0	27729.0	2335.0	67.0	17126.0	1198.0	458.0	8016.0	16087.0	52952.0	31504.0	78431.0	30988.0	7565.0	923.0	239.0
t	2093087.0	646034.0	63916.0	557675.0	73184.0	7857.0	471556.0	62317.0	24979.0	153663.0	52952.0	7176757.0	653021.0	686070.0	65938.0	99369.0	24017.0	7932.0
v	1180628.0	420617.0	34973.0	242570.0	20324.0	997.0	134208.0	13561.0	5441.0	53488.0	31504.0	653021.0	1271347.0	685603.0	129256.0	52608.0	10942.0	2702.0
f	833432.0	1225937.0	54360.0	207551.0	18580.0	754.0	109633.0	8758.0	3202.0	48204.0	78431.0	686070.0	685603.0	6672699.0	426393.0	42783.0	6972.0	1694.0
r	128660.0	77093.0	63969.0	48892.0	3650.0	125.0	20596.0	1645.0	310.0	6892.0	30988.0	65938.0	129256.0	426393.0	1964731.0	19498.0	1750.0	1094.0
n	137195.0	60858.0	5289.0	98926.0	7438.0	221.0	53849.0	2882.0	1462.0	7960.0	7565.0	99369.0	52608.0	42783.0	19498.0	88649.0	6141.0	1076.0
h	30148.0	11109.0	696.0	12711.0	2550.0	64.0	7943.0	948.0	419.0	1204.0	923.0	24017.0	10942.0	6972.0	1750.0	6141.0	4001.0	271.0
y	8273.0	4129.0	84.0	3920.0	899.0	82.0	1848.0	288.0	134.0	301.0	239.0	7932.0	2702.0	1694.0	1094.0	1076.0	271.0	1055.0
